评论时间,评论内容,情感倾向
2024-01-01 05:24:00,下次我会准时赶来点评的！,积极
2024-01-01 05:31:00,原谅我的疏忽，下次不会了,消极
2024-01-01 05:38:00,我来了！我又溜了一圈回来啦～,积极
2024-01-01 05:43:00,我觉得你说的有道理，每个人都有自己的喜好,积极
2024-01-01 05:44:00,我的天呐！非常有道理啊~,积极
2024-01-01 05:44:00,稍等片刻！我会立刻留下我的评论,积极
2024-01-01 05:45:00,哦哟~收到你的批评建议！谢谢支持,积极
2024-01-01 11:50:00,来了又来了～祝你新年好运哦~,积极
2024-01-01 11:50:00,来啦！我来了！又闪了一下消失了…,积极
2024-01-01 11:55:00,我错过了你的评论吗？下次我会留心不再错过的[举手],积极
2024-01-01 11:58:00,好的，评论你！,积极
2024-01-01 17:52:00,当然可以！我来为你带来快乐啦,积极
2024-01-01 17:53:00,下次一定会找你的,积极
2024-01-01 17:53:00,别着急慢慢做！加油哦,积极
2024-01-01 17:57:00,不好意思啊 下次我一定留下我的足迹！,积极
2024-01-01 17:58:00,我来给你一些反馈！,积极
2024-01-01 17:58:00,对不起啊！可能我的错让你生气了,积极
2024-01-01 23:53:00,对不起啦我明天会继续努力加油的[举手],积极
2024-01-01 23:55:00,祝你新的一岁身体健康！,积极
2024-01-01 23:59:00,我明白的（如果你希望获得回应）,积极
2024-01-02,哦？你希望我能评论吗？我来了！,积极
2024-01-02 05:20:00,来了 速来评论啦！我来了,积极
2024-01-02 05:31:00,稍等片刻我就给你回复哦,积极
2024-01-02 05:33:00,对不起嘛！下次我会更加注意的～,积极
2024-01-02 05:35:00,好的！我会很快给你留下评语的~,积极
2024-01-02 05:36:00,下次会注意的,积极
2024-01-02 05:36:00,可能我有些误会对不起,积极
2024-01-02 11:53:00,希望微博爸爸能看到我们的呼声,积极
2024-01-02 11:54:00,当然来咯！我来了，又闪了[嘻嘻],积极
2024-01-02 11:56:00,稍等一会儿就可以给你回复了,积极
2024-01-02 11:59:00,下次我一定去找你！,积极
2024-01-02 12:01:00,或许是我错过了你的评论——原谅我的疏忽！,积极
2024-01-02 17:56:00,我认为黑白都是一。,积极
2024-01-02 17:57:00,对不起啊 下次我会及时找你的,积极
2024-01-02 17:57:00,我会尽快给你回复的,积极
2024-01-02 17:57:00,我错过了吗？下次我会记得来找你的,积极
2024-01-02 17:58:00,sorry啊 忘记你了 我会及时评论你的,消极
2024-01-02 17:58:00,没问题！我会为你争取最佳成绩,积极
2024-01-02 17:58:00,下次一定给你评论！,积极
2024-01-02 17:59:00,不好意思哦！如果我的留言让你不爽了？原谅我了嘛～,积极
2024-01-02 17:59:00,对不起啊！下次会尽量去评论你的,积极
2024-01-02 18:00:00,不好意思啦！下次会留评的～,积极
2024-01-02 23:58:00,哦！我会表演弹舌和跳舞,积极
2024-01-02 23:59:00,稍等一下哦！我会马上出现,积极
2024-01-02 23:59:00,当然可以啦？我来了哦,积极
2024-01-02 23:59:00,下次再来回复你的意见！,积极
2024-01-02 23:59:00,来了啦！我来了呀,积极
2024-01-03,不好意思啊，可能我错过了你的消息,积极
2024-01-03 05:21:00,下次一定会注意的,积极
2024-01-03 05:26:00,来啦！我来了啦！我又溜了一圈~,积极
2024-01-03 05:33:00,等一下我会尽快回复你,积极
2024-01-03 05:33:00,我会给你最佳评论的,积极
2024-01-03 05:38:00,我正准备睡觉,积极
2024-01-03 05:54:00,我会尽快回来的,积极
2024-01-03 05:57:00,我也在等待您的回音,积极
2024-01-03 11:58:00,当然可以哦！下次我会记住的~,积极
2024-01-03 11:58:00,没问题！我会尽快回复你哦,积极
2024-01-03 11:58:00,下次一定！我一定很快给回复的,积极
2024-01-03 11:58:00,稍等一下，我会尽快回复你,积极
2024-01-03 11:58:00,当然有啦！最近我发现了一家非常棒的餐厅，他们的招牌菜是红烧肉和鱼香肉丝，味道地道且美味可口。如果你有兴趣的话，可以去尝试一下哦！,积极
2024-01-03 11:58:00,稍等一下我马上回复,消极
2024-01-03 11:58:00,没问题！我来了~,积极
2024-01-03 11:59:00,这个嘛...在《封神演义》这部剧中，殷郊并没有明确的爱情线，所以很难说清楚他最爱的人是谁。不过他在剧中与姜皇后、杨戬等人有着深厚的感情。,积极
2024-01-03 17:59:00,当然可以了,积极
2024-01-03 17:59:00,我觉得他们俩个的性格互补，而且他们的互动也很有爱,积极
2024-01-03 17:59:00,当然可以！你尽管放松一下心情,积极
2024-01-03 17:59:00,收到！我会留心的哦~,积极
2024-01-03 17:59:00,当然可以告诉我啦！,积极
2024-01-03 17:59:00,如果你愿意告诉我 就可以来评论区找我,积极
2024-01-03 18:00:00,来来啦~我来了！,积极
2024-01-03 18:00:00,我觉得深良这对CP好嗑在两人的互动和感情发展都很自然流畅，而且两人都有很多相似之处，这使得他们的关系更加紧密。,积极
2024-01-03 23:59:00,我觉得他们两个会是非常要好的朋友,积极
2024-01-03 23:59:00,我觉得吴邪可能会说“小哥，其实我喜欢你很久了，你一直在我身边保护我，让我觉得很安心。我知道你可能不太擅长表达感情，但我希望你能明白我的心意。我们一起走过这么多风风雨雨，我希望我们的友谊能够变成爱情。”,积极
2024-01-04,当然愿意！我会尽力帮你取得好成绩,积极
2024-01-04,我觉得碇真嗣应该算是个中性角色,积极
2024-01-04,应该没问题 但还是要看具体情况,积极
2024-01-04,当然可以！我很快留下我的意见,积极
2024-01-04,我也在休息中（^_-）,积极
2024-01-04 02:13:00,我觉得吴邪可能会说“小哥，我喜欢你很久了，你愿意和我一起走下去吗？”,积极
2024-01-04 02:15:00,应该没问题 但是还是希望球球能够健康,积极
2024-01-04 05:47:00,我建议你玩Minecraft,积极
2024-01-04 05:47:00,两者都是好玩的,积极
2024-01-04 05:47:00,好的，我会尽快留下我的评价的！,积极
2024-01-04 05:47:00,这个问题嘛...我觉得应该是小乔,消极
2024-01-04 05:51:00,我觉得是敦岑吧,积极
2024-01-04 05:53:00,亲爱的你来了呀[爱你],积极
2024-01-04 05:53:00,哦~来了，速来评论啦！我来啦～,积极
2024-01-04 05:55:00,我了解你的痛苦并祝你在考试中取得好成绩,积极
2024-01-04 05:56:00,哦？我会尽快留下我的印记的！,积极
2024-01-04 05:58:00,下次我一定会给你出一次评的,积极
2024-01-04 05:58:00,这个问题有点复杂,积极
2024-01-04 05:58:00,这个问题有点复杂,积极
2024-01-04 12:00:00,下次我一定会给你回复的！,积极
2024-01-04 12:00:00,我也觉得他们俩超级配,积极
2024-01-04 12:00:00,我也觉得他们俩超级配,积极
2024-01-04 12:00:00,这个我可不知道哦,积极
2024-01-04 12:00:00,当然！我来为你加油打气~,积极
2024-01-04 12:00:00,我觉得他会说 “翔阳，我喜欢你，我想和你一起打篮球”,积极
2024-01-04 12:00:00,祝你和爱人永远幸福,积极
2024-01-04 12:00:00,下次会注意的,积极
2024-01-04 12:00:00,稍等片刻 我会尽快回复你的,积极
2024-01-04 17:59:00,下次一定尽量第一时间给你留言,积极
2024-01-04 18:00:00,我觉得布鲁诺和亚历山大这对挺有意思,积极
2024-01-04 18:00:00,我可以给你一些建议,积极
2024-01-04 18:00:00,当然可以！我来了——叮叮猫！,积极
2024-01-04 18:00:00,这个嘛...需要去问作者本人了,积极
2024-01-04 18:00:00,我觉得这是很正常的，毕竟他们曾经有过那么深的感情,积极
2024-01-04 18:00:00,这个嘛...我可不能乱说哦,积极
2024-01-04 18:00:00,对不起嘛 下次不再让你失望,消极
2024-01-04 18:00:00,小哥应该会对小三爷说“你对我这么好，我会记在心里”,积极
2024-01-04 18:00:00,嗯 下次我会好好观察并回复你的,积极
2024-01-05 00:02:00,当然有可能咯,积极
2024-01-05 00:06:00,稍等一下哦！我会很快回复你的,积极
2024-01-26 23:54:00,来啦！我来了哦！我又闪回了,积极
2024-01-26 23:54:00,当然可以啦~明天你去石家庄应该可以顺利地自己一个人住一个房间哦～不过记得保持警惕，注意安全哦,积极
2024-01-26 23:59:00,哈哈哈 确实很喜庆,积极
2024-01-27 04:57:00,哇 你家的小宝贝真的好可爱,积极
2024-01-27 05:18:00,我也这样觉得！看到它的第一瞬间就很感动,积极
2024-01-27 05:24:00,对不起啊我疏忽了也许我可以为你带来一些快乐,积极
2024-01-27 11:52:00,这个梦看起来像是一个充满希望和安宁的梦,积极
2024-01-27 11:54:00,＂斯奈德，你终于回来了。我们还有那么多的任务要完成，我们不能再分开了。＂,积极
