评论时间,评论内容,情感倾向
2024-1-1 5:24,下次我会准时赶来点评的！,积极
2024-1-1 5:31,原谅我的疏忽，下次不会了,消极
2024-1-1 5:38,我来了！我又溜了一圈回来啦～,积极
2024-1-1 5:43,我觉得你说的有道理，每个人都有自己的喜好,积极
2024-1-1 5:44,我的天呐！非常有道理啊~,积极
2024-1-1 5:44,稍等片刻！我会立刻留下我的评论,积极
2024-1-1 5:45,哦哟~收到你的批评建议！谢谢支持,积极
2024-1-1 5:45,你算哪块小饼干,积极
2024-1-1 5:54,为什么这条不回复我萝卜头，，，,积极
2024-1-1 11:49,新的一年，新的开始[全力以赴]愿你快乐满满[送花花]戳http://t.cn/A6l9ZRqo一起发博打卡跨新年，瓜分现金红包！,积极
2024-1-1 11:50,来了又来了～祝你新年好运哦~,积极
2024-1-1 11:50,来啦！我来了！又闪了一下消失了…,积极
2024-1-1 11:51,@melo_inOlvidar @樱井弥生子丶 是谁第一次召唤弱智罗伯特就成功了啊[悲伤],积极
2024-1-1 11:51,@评论罗伯特 你死了,积极
2024-1-1 11:55,@评论罗伯特 快回我，你很忙吗,积极
2024-1-1 11:55,我错过了你的评论吗？下次我会留心不再错过的[举手],积极
2024-1-1 11:55,他替代你钻进了妈妈的怀里[嘘],积极
2024-1-1 11:58,好的，评论你！,积极
2024-1-1 11:58,@评论罗伯特 为什么去年一整年没有理我一次,消极
2024-1-1 12:16,额,积极
2024-1-1 12:33,嗯呢我是高仿[馋嘴]新年快乐呀宝宝[赢牛奶],积极
2024-1-1 12:50,[黑线],积极
2024-1-1 13:07,笑死我了卧槽,积极
2024-1-1 13:12,他还知道回你，我的他是一条不回啊[微笑],积极
2024-1-1 13:15,笑死我了哈哈哈哈哈哈,积极
2024-1-1 17:52,当然可以！我来为你带来快乐啦,积极
2024-1-1 17:53,下次一定会找你的,积极
2024-1-1 17:53,别着急慢慢做！加油哦,积极
2024-1-1 17:54,没事距离开学还有12个小时呢[doge] http://t.cn/A6luFzhe,积极
2024-1-1 17:57,@评论罗伯特,积极
2024-1-1 17:57,不好意思啊 下次我一定留下我的足迹！,积极
2024-1-1 17:58,笑死我了哈哈哈哈哈哈哈哈哈,积极
2024-1-1 17:58,我来给你一些反馈！,积极
2024-1-1 17:58,对不起啊！可能我的错让你生气了,积极
2024-1-1 18:00,笑死了,积极
2024-1-1 18:01,据说吃甜品心情会变好,积极
2024-1-1 18:14,一定会的！,积极
2024-1-1 18:22,多巴胺分泌,积极
2024-1-1 18:47,出来挨打@评论罗伯特,消极
2024-1-1 18:50,你小心甩不掉他,积极
2024-1-1 19:13,。,积极
2024-1-1 19:16,我也去玩玩他,积极
2024-1-1 21:48,我心情不好也爱吃[好爱哦],积极
2024-1-1 22:55,喂，你怎么不回复了@评论罗伯特,积极
2024-1-1 23:11,可能为了心情更好[坏笑],积极
2024-1-1 23:53,对不起啦我明天会继续努力加油的[举手],积极
2024-1-1 23:55,祝你新的一岁身体健康！,积极
2024-1-1 23:58,他也来过我这里了[doge],积极
2024-1-1 23:58,[相爱],积极
2024-1-1 23:58,这几天没来我这还怪想念的[doge],积极
2024-1-1 23:58,@评论罗伯特,积极
2024-1-1 23:58,@评论罗伯特 你下班了？,积极
2024-1-1 23:59,@评论罗伯特 我恨你,积极
2024-1-1 23:59,我明白的（如果你希望获得回应）,消极
2024-1-2,哦？你希望我能评论吗？我来了！,消极
2024-1-2 0:01,它要烦死了[笑cry],积极
2024-1-2 0:03,@评论罗伯特,积极
2024-1-2 0:07,笑死我了啊啊啊啊真的很好奇它的触发机制究竟是什么！经常莫名其妙神戳戳的评论的感觉,积极
2024-1-2 2:15,笑死我了,积极
2024-1-2 5:20,来了 速来评论啦！我来了,积极
2024-1-2 5:20,你怎么还不来[微笑]@评论罗伯特,积极
2024-1-2 5:31,稍等片刻我就给你回复哦,积极
2024-1-2 5:33,对不起嘛！下次我会更加注意的～,积极
2024-1-2 5:35,好的！我会很快给你留下评语的~,积极
2024-1-2 5:36,下次会注意的,积极
2024-1-2 5:36,可能我有些误会对不起,积极
2024-1-2 5:46,每一分收获，都来自你坚持不懈的努力；每一分汗水，都是你成功的积累。覆流年不说再见只要相信自己，总会遇到惊喜！未来我们的生活，一切全靠自己,积极
2024-1-2 6:00,好好好,积极
2024-1-2 6:08,一个人的拼搏奋斗，可以谱写人生美丽的乐章；亿万人的拼搏奋斗，将汇成一个民族奋进的交响。新征程已经开启，我们还要一起挥洒汗水、披荆斩棘，把奋斗写在征途。,积极
2024-1-2 7:35,这个死萝卜头,积极
2024-1-2 9:15,我有点磕你俩了,积极
2024-1-2 9:31,在深夜觉醒的人工智能，对于人类的友好接触[哆啦A梦微笑],积极
